COLONIA,total_incidentes,LATITUD,LONGITUD
SAHUARO,32343,29.1086645,-111.011764
MIGUEL ALEMAN (LA DOCE),18973,28.8421307,-111.4792111
ALTARES,18809,29.0110802,-110.9461929
LA MANGA,11645,29.0864916,-111.0370989
PROGRESISTA,7946,29.1221095,-110.9931356
ALTARES SECCION FRANCISCANOS,7559,29.0192458,-110.9450752
"CENTRO SUR, MERCADO",6269,30.7094249,-111.8374821
ALTARES II,6023,29.00142229999999,-110.9372516
AMAPOLAS,5742,29.0903155,-110.9156436
SAN PEDRO EL SAUCITO,4712,29.1762205,-110.8865851
VILLA COLONIAL,4166,29.1465643,-110.9707818
CENTRO NORTE,4073,30.7159683,-111.8352463
EL ENCANTO,3388,29.181849,-110.8938134
LA VICTORIA,3331,29.1209786,-110.8977614
CASA BLANCA,2763,29.3535356,-110.8212476
CONDOMINIOS SAN PABLO,2662,29.1291013,-111.0156237
MIGUEL ALEMAN,2408,28.8421307,-111.4792111
NUEVA ESPERANZA,2201,28.8394368,-111.4715588
NUEVA VICTORIA,1994,29.1209786,-110.8977614
BACHOCO,1930,29.1289971,-110.9551343
JEREZ DEL VALLE,1899,29.1006693,-111.0139994
BUENA VISTA,1733,29.24457,-110.6373777
PRIMAVERA,1695,28.8254821,-111.943679
SAN MARCOS,1667,28.8715566,-111.6701145
NUEVA ESPAÑA,1608,29.1139571,-111.0005869
INVASION ALTARES,1549,29.0110802,-110.9461929
EL CHAPARRAL,1543,29.1303731,-111.0147445
MORELOS,1534,29.1218472,-110.9513228
EL TAZAJAL,1493,29.143611,-110.8822221
URBI VILLA CAMPESTRE,1444,29.0540196,-111.0247026
BELLA VISTA,1426,29.116188,-110.9890374
EL CORTIJO,1307,29.17863759999999,-110.8645427
SACRAMENTO RESIDENCIAL,1304,29.12058459999999,-110.9514087
EL LLANITO,1245,29.1033819,-111.0218193
PUEBLO NUEVO,964,28.8403745,-111.4909355
LOMA LINDA \ KINO VIEJO,904,29.1480168,-110.9781537
26 DE OCTUBRE,831,28.8440236,-111.5002513
MESA DEL SERI,721,29.109483,-110.8359203
QUINTA REAL,718,29.0458739,-110.8685768
MODELO CENTRO (GUAYMAS J. SIERRA),717,27.9241555,-110.8957047
PREDIO GUADALUPE,625,29.1337925,-111.006548
EL TRONCONAL,549,29.176111,-110.8522221
