CVE_COL,COLONIA,poblacion_total,total_incidentes
2603000011605,LOTE BALDIO 05,,2762
2603000012023,LOTE BALDIO 23,,1711
2603000011386,REAL DEL COBRE,,1142
2603000011750,SIN NOMBRE 50,0.0,1046
2603000011837,LOTE BALDIO 37,0.0,611
2603000011650,SANTA CLARA,0.0,279
2603000011803,LOS CIRIOS,,213
2603000011811,NAZAREO RESIDENCIAL,,161
2603000011947,4TA ZONA MILITAR,,106
2603000011514,CLUB BRITANIA,,13
2603000011527,PORTON DEL ARCO,,8
2603000016746,LA CORUÃA SECCION PRIVADA RIAZOR,,4
2603000016239,EL CHAPARRAL,,3
2603000016250,LA CAÃADA PRIVADA RESIDENCIAL,,2
2603000011530,RETORNO LA REJA,,1
2603000012168,CASA ALTA RDCIAL,,0
2603000012052,14 DE MARZO,,0
2603000011933,PUEBLITOS,0.0,0
2603000012011,CANARIOS,,0
2603000011444,RETORNO JALAPA,,0
2603000011753,LA CEMENTERA,0.0,0
2603000016580,SANTA CRUZ,0.0,0
2603000016638,SALAMANCA,0.0,0
2603000011836,CERRO 36,,0
2603000011817,CONDOMINIOS LOS PORTALES RESIDENCIAL,,0
2603000016831,LOS FRAILES,,0
2603000011787,LAS LOMAS SECC CASTAÃOS,,0
2603000011531,CAMPESTRE RESIDENCIAL,,0
2603000016786,CARDENO ENTORNO,,0
2603000011572,RESIDENCIAL FLAMINGOS,,0
2603000016444,LAS PLASITAS PRIMERAS,,0
2603000011999,BUENA VENTURA,,0
2603000011545,SAN DIEGO,,0
2603000012003,BUROCRATA MUNICIPAL,,0
2603000011479,LOMAS ALTAS,,0
2603000012226,PRIVADA PARQUE ALAMEDA,0.0,0
2603000011754,SIN NOMBRE 54,,0
2603000016821,MONTESINOS,0.0,0
2603000011859,PARAISO PITIC,,0
2603000011528,ARCADIA,,0
2603000016745,LA CORUÃA SECCION  PRIVADA ALMAR,,0
2603000011491,RESIDENCIAL EL ENCANTO,,0
2603000011422,NUEVA ESPAÃA,,0
2603000016744,SAN MARINO,,0
2603000012364,MEZORO,,0
2603000016819,PRIMERO  HERMOSILLO,,0
2603000016734,LAS VISTAS,,0
2603000012235,PRIVADA DEL ROSARIO,,0
2603000016625,SANTA ROSARIO,,0
2603000011691,LOS PINOS,,0
2603000016832,MONTE DE CALABRIA RESIDENCIAL,0.0,0
2603000012254,CERRADA LA CARIDAD,,0
2603000011832,QUINTA DE LOS MEZQUITES,,0
2603000016417,ARGANGEL RESIDENCIAL,,0
2603000016601,CONCORDIA RESIDNCIAL,0.0,0
2603000016264,LOTE BALDIO 64,,0
2603000016755,BONATERRA,0.0,0
2603000012190,TURIN,,0
2603000016491,LAS VEREDAS,,0
2603000016328,AMPLIACIN 4 DE MARZO,,0
2603000011789,PRIVADA LOS SAUCES,,0
2603000011801,PRIVADA CASA BLANCA,,0
