nom_col,LATITUD,LONGITUD,DIRECCION_FORMATEADA,TIPO_UBICACION,PLACE_ID,TIPOS,TIMESTAMP
4 DE MARZO,29.1512404,-110.9931356,"4 de Marzo, 83105 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ28z4-yuHzoYRIjmkEyTvmRM,"political, sublocality, sublocality_level_1",2025-11-05T23:15:45.225967
ACACIAS RESIDENCIAL,29.1233381,-111.0596098,"Acacia Colorada 19, Acacia Residencial, 83177 Hermosillo, Son., Mexico",ROOFTOP,ChIJMa7z9HqBzoYRoRc40Is6pqQ,"establishment, point_of_interest, real_estate_agency",2025-11-05T23:15:45.525701
ADOLFO DE LA HUERTA,29.028009,-110.9573696,"Adolfo de la Huerta, 83295 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ6w7dyNCEzoYR7f-rNgG4tf0,"political, sublocality, sublocality_level_1",2025-11-05T23:15:45.830398
ADOLFO LOPEZ MATEOS,29.0287101,-110.9710802,"Adolfo López Mateos, Adolfo Lopez Mateos, 83284 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJxXSdMcaEzoYR12QT0dPfg60,route,2025-11-05T23:15:46.136965
ADOLFO LOPEZ MATEOS ETAPA I,29.0287101,-110.9710802,"Adolfo López Mateos, Adolfo Lopez Mateos, 83284 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJxXSdMcaEzoYR12QT0dPfg60,route,2025-11-05T23:15:46.449923
AGAVES RESIDENCIAL,29.01428659999999,-110.9723136,"Boulevard Santa Clara & Bulevar Agave Azul, 83284 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ3w80lZGFzoYR57--OwwClhI,"establishment, point_of_interest",2025-11-05T23:15:46.754432
AKIWIKI,29.0386959,-110.9514087,"Akiwiki, Hermosillo, Son., Mexico",APPROXIMATE,ChIJf5xaZd-EzoYRmsic5IiTl8Y,"political, sublocality, sublocality_level_1",2025-11-05T23:15:47.067422
ALAMEDA,29.1480825,-110.9627472,"Alameda, Los Angeles, 83106 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJn4KTLOOGzoYRvywfs-Sdf-Y,route,2025-11-05T23:15:47.377503
ALEGRANZA RESIDENCIAL,29.0564489,-111.0101392,"Montejano 5, 83287 Hermosillo, Son., Mexico",ROOFTOP,ChIJuWiubhODzoYRM26AAPzeq2s,"establishment, point_of_interest",2025-11-05T23:15:47.687007
ALFONSO PERALTA,29.0656981,-110.9578876,"Angela Peralta & C. Alfonso Durazo A., Villa de Seris, 83280 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ElVBbmdlbGEgUGVyYWx0YSAmIEMuIEFsZm9uc28gRHVyYXpvIEEuLCBWaWxsYSBkZSBTZXJpcywgODMyODAgSGVybW9zaWxsbywgU29uLiwgTWV4aWNvImYiZAoUChIJh8XaZlaEzoYRyW_Q4ihjVFMSFAoSCYfF2mZWhM6GEclv0OIoY1RTGhQKEgkfpJhyVoTOhhHOZPhp2UW1jxoUChIJHZTDn_iEzoYRFaKJ8YtljTYiCg3VElMRFYQr3b0,intersection,2025-11-05T23:15:47.991365
ALONDRAS RESIDENCIAL,29.1474613,-110.9920912,"Agua Salada 18, Periodista, 83156 Hermosillo, Son., Mexico",ROOFTOP,ChIJzY2a-SmHzoYRGW8bjW0GkNM,"establishment, point_of_interest",2025-11-05T23:15:48.290371
ALTA CALIFORNIA RESIDENCIAL,29.0872702,-111.0015183,"Alta California Residencial - Solano, Montebello, 83249 Hermosillo, Son., Mexico",APPROXIMATE,ChIJgbsTBPeDzoYRnlA27X6eDEM,"neighborhood, political",2025-11-05T23:15:48.602309
ALTA FIRENZE NORTE RESIDENCIAL,29.1404738,-110.9570099,"Cerrada Faenza, Blvrd Morelos Nte 30, Alta Firenze Norte, 83104 Hermosillo, Son., Mexico",ROOFTOP,ChIJ60NwNByHzoYRqCqG4wXBD-U,"establishment, point_of_interest",2025-11-05T23:15:48.970855
ALTA MONACO,29.06792219999999,-110.9777979,"C. Olivares, Jardines de Monaco, 83288 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJU7uLzdiFzoYRUuLQAUlqfMc,"establishment, point_of_interest",2025-11-05T23:15:49.326907
ALTA VISTA,29.0377577,-110.9679088,"Alta Vista, Villa Hermosa, 83280 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJZ0-oPMKEzoYReNL7fhzsQ9Y,route,2025-11-05T23:15:49.714453
ALTAFIRENZE RESIDENCIAL,29.1363856,-110.9588024,"Sta. Monica SN-S CFE, Valle Santa Monica, 83104 Hermosillo, Son., Mexico",ROOFTOP,ChIJB7wX1vOGzoYRdazHqoS8mds,"establishment, point_of_interest",2025-11-05T23:15:50.058682
ALTAMIRA,29.022471,-110.93483,"Altamira, 83296 Hermosillo, Son., Mexico",APPROXIMATE,ChIJJSl_EM-azoYRCqutF8tflR0,"political, sublocality, sublocality_level_1",2025-11-05T23:15:50.354535
ALTARES,29.0110802,-110.9461929,"Altares, 83296 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ71VDHNSazoYRVyorg5g5TAs,"political, sublocality, sublocality_level_1",2025-11-05T23:15:50.654450
ALTARIA RESIDENCIAL,29.1581563,-110.9846242,"Av. Árbol de Pisardi, 83107 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJMakBpBmHzoYRkuSznQOXI_M,"establishment, point_of_interest",2025-11-05T23:15:50.963484
ALTO VALLE,29.14451859999999,-110.966311,"Alto Valle, 83106 Hermosillo, Son., Mexico",APPROXIMATE,ChIJRQkzDeSGzoYRYPS5uSiIAbg,"political, sublocality, sublocality_level_1",2025-11-05T23:15:51.267225
ALTOS DE ARAGON,29.1329842,-110.9588081,"Altos de Aragón, Señorita Lucía, Valle Santa Monica, 83104 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJdXXtpfOGzoYRPFlx2jvguC8,"premise, street_address",2025-11-05T23:15:51.564631
ALVARO OBREGON,29.1073492,-111.0028223,"Alvaro Obregon, Hermosillo, Son., Mexico",APPROXIMATE,ChIJWQElM1KBzoYR6y9NWPBveQc,"political, sublocality, sublocality_level_1",2025-11-05T23:15:51.921730
AMAPOLAS,29.0903155,-110.9156436,"Amapolas, 83020 Hermosillo, Son., Mexico",APPROXIMATE,ChIJgdAil5KFzoYRPDy6my7zXmU,"political, sublocality, sublocality_level_1",2025-11-05T23:15:52.228655
AMPLIACIN 4 DE MARZO,29.1512404,-110.9931356,"4 de Marzo, 83105 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ28z4-yuHzoYRIjmkEyTvmRM,"political, sublocality, sublocality_level_1",2025-11-05T23:15:52.564355
AMPLIACION ALCATRACES,29.1266558,-111.0123097,"Alcatraces, 83179 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ7SZJJTqBzoYR0bY3gavaZDE,route,2025-11-05T23:15:52.905639
AMPLIACION LOS OLIVOS,29.0329061,-110.972934,"Los Olivos, 83284 Hermosillo, Son., Mexico",APPROXIMATE,ChIJk3e6NceEzoYRh7tIsqcfDms,"political, sublocality, sublocality_level_1",2025-11-05T23:15:53.243538
ANDALUCIA,29.065955,-110.9823614,"Andalucía, Asturias Residencial, Marsella Residencial, 83288 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ0-rvZmSEzoYRztNeBIG-JOk,route,2025-11-05T23:15:53.581249
ANGEL FLORES,29.0747876,-110.9514087,"Angel Flores, Hermosillo, Son., Mexico",APPROXIMATE,ChIJP2GUyVKEzoYRYzBf0idSRcE,"political, sublocality, sublocality_level_1",2025-11-05T23:15:53.875465
ANTARA RESIDENCIAL,29.1462274,-110.9625098,"Priv. Patagonia, 83106 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJUZW8rPyGzoYRw0eycu8QIiE,"establishment, point_of_interest",2025-11-05T23:15:54.173395
APOLO,29.1170132,-110.9648208,"Apolo, Hermosillo, Son., Mexico",APPROXIMATE,ChIJp9BgoJqGzoYRDPSEP5ZVGjg,"political, sublocality, sublocality_level_1",2025-11-05T23:15:54.474345
ARANDANOS RESIDENCIAL,29.1455359,-111.0113343,"Arándanos, 83318 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ7bKwO9iAzoYRV6hNDxvG9bs,route,2025-11-05T23:15:54.774171
ARANDANOS SECCION VILLA HERMOSA,29.03775,-110.9700366,"Villa Hermosa, 83280 Hermosillo, Son., Mexico",APPROXIMATE,ChIJM9gk0sOEzoYRdWZ1-hpirws,"political, sublocality, sublocality_level_1",2025-11-05T23:15:55.144110
ARANJUEZ RESIDENCIAL,29.1570199,-110.9752156,"Aranjuez Residencial, 83114 Hermosillo, Son., Mexico",APPROXIMATE,ChIJJ7a3eiKHzoYRRj181WE4FTk,"neighborhood, political",2025-11-05T23:15:55.442995
ARBOLEDAS,29.0032044,-110.9305456,"Arboledas, 83296 Hermosillo, Son., Mexico",APPROXIMATE,ChIJZb-qV8CazoYRIwApsW-kNAs,"political, sublocality, sublocality_level_1",2025-11-05T23:15:55.740791
ARCO IRIS,29.0771253,-110.9764854,"Arco Iris, 83250 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJzbvrJWqEzoYRSAVSrShvMrY,route,2025-11-05T23:15:56.038376
ARGANGEL RESIDENCIAL,29.1561148,-111.0148354,"Del Arcángel Nte., Cerrada del Angel, 83318 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJTfPF8sSAzoYRn1W34LFH51o,route,2025-11-05T23:15:56.418360
ASTURIAS RESIDENCIAL,29.0651234,-110.9830763,"Asturias Residencial, Marsella Residencial, 83288 Hermosillo, Son., Mexico",APPROXIMATE,ChIJBdi4imOEzoYRwsrU4lxdEJU,"neighborhood, political",2025-11-05T23:15:56.718100
ATARDECERES,29.1200564,-110.9823312,"Atardeceres, Hermosillo, Son., Mexico",APPROXIMATE,ChIJw0Ii2ruGzoYRIWcsDVhXO2Y,"political, sublocality, sublocality_level_1",2025-11-05T23:15:57.007847
AUREA RESIDENCIAL,29.0627292,-110.9883515,"Blvd. Camino del Seri, 83288 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJx5pHICiFzoYRim6m9i9ocOI,"establishment, point_of_interest",2025-11-05T23:15:57.356681
AZORES RESIDENCIAL,29.0624185,-110.9917334,"Camino del Seri y Blvd. de las Quintas, Por, Blvd. Islas Azores, Azores residencial, 83287 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJH_YGB9KFzoYRBZjNGkSQeHw,"establishment, lodging, point_of_interest",2025-11-05T23:15:57.665100
BACHOCO,29.1289971,-110.9551343,"Bachoco, Hermosillo, Son., Mexico",APPROXIMATE,ChIJwxFCPYuGzoYRF9zK2nJ0VAg,"political, sublocality, sublocality_level_1",2025-11-05T23:15:57.974368
BADALONA,29.0729673,-110.9559192,"Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJ5a7femiEzoYR-X-I6ZVTPbM,"locality, political",2025-11-05T23:15:58.332704
BALDERRAMA,29.1082892,-110.9715269,"Balderrama, 83180 Hermosillo, Son., Mexico",APPROXIMATE,ChIJgWUNAZ6GzoYR2a4RgUTme38,"political, sublocality, sublocality_level_1",2025-11-05T23:15:58.639619
BANUS,29.1419003,-110.9610952,"Banus, Insurgentes, 83106 Hermosillo, Son., Mexico",APPROXIMATE,ChIJY-lIxfqGzoYRcanyR6b7IOY,"neighborhood, political",2025-11-05T23:15:58.943084
BARCELONA RESIDENCIAL,29.0668859,-110.9846803,"Cda. BARCELONES, 83288 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ2-S7c4qFzoYRonYRGdITG80,"establishment, general_contractor, point_of_interest",2025-11-05T23:15:59.240765
BELLA VISTA,29.116188,-110.9890374,"Bella Vista, Hermosillo, Son., Mexico",APPROXIMATE,ChIJffWqSLCGzoYRV_T9KB4zeNw,"political, sublocality, sublocality_level_1",2025-11-05T23:15:59.531498
BENEI,29.1190805,-111.025182,"Blvd. Paseo Benei, 83177 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ446x1RSBzoYRauaoRMMBc2I,route,2025-11-05T23:15:59.882208
BENITO JUAREZ,29.1256134,-110.9886648,"Benito Juárez, Hermosillo, Son., Mexico",APPROXIMATE,ChIJURI08ceGzoYRMfxEz9Gcfoo,"political, sublocality, sublocality_level_1",2025-11-05T23:16:00.213596
BICENTENARIO,29.1675749,-111.0035649,"Av. Bicentenario, 83117 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJYcFQ7bWAzoYRSB6_YG9OosE,route,2025-11-05T23:16:00.518828
BILBAO,29.0740013,-110.9759708,"C. Bilbao, Las Granjas, 83250 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJT6Cio2mEzoYRVxMfKY-CPJE,route,2025-11-05T23:16:00.880542
BONANZA,29.0999107,-110.9770608,"Av. José San Healy 337, Olivares, 83180 Hermosillo, Son., Mexico",ROOFTOP,ChIJw6ijJR-EzoYRdGsXZzCMsts,"bar, establishment, point_of_interest",2025-11-05T23:16:01.184779
BONATERRA,29.0724989,-111.0466744,"Juan Antonio Ruibal Corella S/N, La Manga, 83230 Hermosillo, Son., Mexico",ROOFTOP,ChIJ7a-nuUODzoYRXO1FuIeUMuI,"establishment, point_of_interest",2025-11-05T23:16:01.550516
BOSCO,29.1379286,-110.9558635,"VIA DEL BOSCO, 83104 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJh_n10PaGzoYRbIMVwfJOM9E,route,2025-11-05T23:16:01.917175
BUENA VISTA,29.24457,-110.6373777,"83308 Buena Vista, Son., Mexico",APPROXIMATE,ChIJufkLZfT1zoYRtHokHVpJ37Y,"locality, political",2025-11-05T23:16:02.221962
BUENA VISTA SECC BONITA,29.0825833,-111.0175353,"Buenavista, Residencial Salvatierra, 83224 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJK0U8QOmDzoYR0btenlEAeeE,route,2025-11-05T23:16:02.562710
BUENA VISTA SECCION AMANECER,29.0825833,-111.0175353,"Buenavista, Residencial Salvatierra, 83224 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJK0U8QOmDzoYR0btenlEAeeE,route,2025-11-05T23:16:02.895167
BUENOS AIRES,29.119355,-111.0121365,"Buenos Aires, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ44lxuUeBzoYRyhEtlKh-I38,"political, sublocality, sublocality_level_1",2025-11-05T23:16:03.261529
BUGAMBILIAS,29.1156941,-110.9558794,"Bugambilia, 83140 Hermosillo, Son., Mexico",APPROXIMATE,ChIJM0egfoaGzoYRqUMg6i_xZCs,"political, sublocality, sublocality_level_1",2025-11-05T23:16:03.601170
BUROCRATA MUNICIPAL,29.0893406,-110.9612985,"Hermosillo Municipality, Sonora, Mexico",APPROXIMATE,ChIJzbeFOK6GzoYR5fpeOgbWFm4,"administrative_area_level_2, political",2025-11-05T23:16:03.949997
CALIFORNIA ETAPA V,29.1267148,-111.0307651,"Luis Donaldo Colosio 432, Metrocentro, 83200 Hermosillo, Son., Mexico",ROOFTOP,ChIJAQAA_BCBzoYRCYwvI0270p4,"establishment, food, point_of_interest, restaurant",2025-11-05T23:16:04.309740
CALIFORNIA PRIVADA MONTEBELLO,29.1207363,-111.0601993,"California Residencial Privada Montebello, Azuaga, 83177 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJd5si-MGBzoYR4etFpG76fWU,"establishment, park, point_of_interest",2025-11-05T23:16:04.674843
CALIFORNIA PRIVADA SANTA MONICA,29.1200468,-111.0603711,"4WCQ+2V6, 83177 Hermosillo, Sonora, Mexico",GEOMETRIC_CENTER,ChIJK4a8ZgCBzoYRgT6CdCRoVfo,"establishment, point_of_interest",2025-11-05T23:16:05.056795
CALISTOGA,29.083851,-111.0069939,"Calistoga, Villa de Parras, 83224 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJC84md_GDzoYRPTMofrnA7G4,route,2025-11-05T23:16:05.411562
CAMINO REAL,29.1168088,-111.0119488,"Cam. Real, Camino Real, 83178 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJG4KGa0aBzoYRjzt0ckqoQl0,route,2025-11-05T23:16:05.760626
