COLONIA_REPRESENTATIVA,NUM_VARIANTES,VARIANTES,FRECUENCIA_TOTAL
NUEVO HERMOSILLO,2,NUEVO HERMAOSILLO | NUEVO HERMOSILLO,32865
JESUS GARCIA,2,JESUS GARCIA | JESÚS GARCIA,25253
VILLA DEL REAL,2,VILLA DE REAL | VILLA DEL REAL,21392
LOPEZ PORTILLO,3,LOPEZ PORTILLO | LOPEZ PÓRTILLO | LÓPEZ PORTILLO,19596
PUERTA DEL REY,3,PUERTA DEL REY | PUERTA EL REY | puerta del rey,18206
ALVARO OBREGON,2,ALVARO OBREGON | ÁLVARO OBREGÓN,14630
VILLAS DEL SUR,2,VILLA DEL SUR | VILLAS DEL SUR,14400
FUENTE  DE PIEDRA,2,FUENTE  DE PIEDRA | FUENTE DE PIEDRA,12746
LOS OLIVOS,2,LO OLIVOS | LOS OLIVOS,12042
PASEO DEL PEDREGAL,3,PASEO DEL PEDREGAL | PASEODEL PEDREGAL | PASEOS DEL PEDREGAL,10973
QUINTAS DEL SOL  RESIDENCIAL,2,QUINTAS DEL SOL  RESIDENCIAL | QUINTAS DEL SOL RESIDENCIAL,10889
CONSTITUCIÓN,2,CONSTITUCION | CONSTITUCIÓN,10852
LAS MINITAS,2,LA MINITAS | LAS MINITAS,10729
PRIVADAS DEL REAL,2,PRIVADA DEL REAL | PRIVADAS DEL REAL,10138
BENITO JUAREZ,2,BENITO JUAREZ | BENITO JUÁREZ,9549
LAURA ALICIA FRIAS DE LOPEZ NOGALES,2,LAURA ALICIA FRIAS DE LOPEZ NOGALES | LAURA ALICIA FRÍAS DE LOPEZ NOGALES,9441
HACIENDAS DEL SUR,2,HACIENDAS DEL SUR | haciendas del sur,9078
UNION DE LADRILLEROS,3,UNION DE LADRILLEROS | UNIÓN DE LADRILLEROS | UNUIN DE LADRILLEROS,8494
CARMEN SERDAN,2,CARMEN SERDAN | CARMEN SERDÁN,8259
EL MALECÓN,2,EL MALECON | EL MALECÓN,7904
MARTIRES DE CANANEA,2,MARTIRES DE CANANEA | MÁRTIRES DE CANANEA,7614
CUARTEL XX CAFE COMBATE,2,CUARTEL XX CAFE COMBATE | CUARTEL XX CAFÉ COMBATE,7596
FUENTES DEL MEZQUITAL,2,FUENTES DE MEZQUITAL | FUENTES DEL MEZQUITAL,7232
CUAUHTEMOC,2,CUAUHTEMOC | CUAUHTÉMOC,7106
BICENTENARIO,2,BICENTENARIO | bicentenario,6807
4 DE MARZO,2,14 DE MARZO | 4 DE MARZO,6551
REAL DEL VALLE,2,REAL DE VALLE | REAL DEL VALLE,6416
HACIENDA DE LA FLOR,2,HACIENDA DE LA FLOR | HACIENDAS DE LA FLOR,5967
TIERRA NUEVA,2,TERRA NUEVA | TIERRA NUEVA,5910
