COLONIA,LATITUD,LONGITUD,DIRECCION_FORMATEADA,TIPO_UBICACION,PLACE_ID,TIPOS,TIMESTAMP
10 DE MAYO,29.0755946,-110.9574616,"Blvd. Miguel Hidalgo 10, El Centenario, 84860 Hermosillo, Son., Mexico",ROOFTOP,ChIJt1q9nZqGzoYRCbSCjBF7Cbo,"establishment, point_of_interest",2025-11-05T17:36:44.719679
1RO DE JULIO,29.1197476,-110.9558078,"C. Uno, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ2_e0r4iGzoYRmWkN8ABpzeQ,route,2025-11-05T17:36:45.030831
22 DE SEPTIEMBRE,29.1054684,-110.9994692,"22 de Septiembre, 83170 Hermosillo, Son., Mexico",APPROXIMATE,ChIJQWhIo1SBzoYRhg-DJ6Up0HU,"political, sublocality, sublocality_level_1",2025-11-05T17:36:45.358288
26 DE OCTUBRE,28.8440236,-111.5002513,"26 de Octubre, 83347 Miguel Alemán, Son., Mexico",APPROXIMATE,ChIJFz0IgTVHzIYRsld4RZ9DA2o,"political, sublocality, sublocality_level_1",2025-11-05T17:36:45.672000
3 REYNAS,29.0545479,-110.9967448,"Reina 3, 83287 Hermosillo, Son., Mexico",ROOFTOP,ChIJfzmJSYCEzoYRyRDxRB8Y6dA,"premise, street_address",2025-11-05T17:36:45.977234
4 DE MARZO,29.1512404,-110.9931356,"4 de Marzo, 83105 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ28z4-yuHzoYRIjmkEyTvmRM,"political, sublocality, sublocality_level_1",2025-11-05T17:36:46.287582
4TA ZONA MILITAR,29.1135673,-110.9468765,"Av. Ángel García Aburto s/n, Loma Linda, 83150 Hermosillo, Son., Mexico",ROOFTOP,ChIJnTkg436GzoYRmIwp6SSg1yw,"establishment, point_of_interest",2025-11-05T17:36:46.595248
5 DE MAYO,29.0912666,-110.9439576,"5 de Mayo, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ33twOMmFzoYRqVzl_gEv9vQ,"political, sublocality, sublocality_level_1",2025-11-05T17:36:46.904869
"5 DE MAYO SECTOR ""A""",29.0811289,-110.9574543,"Hermosillo - Nogales 7, Centro, 83000 Hermosillo, Son., Mexico",ROOFTOP,ChIJBwWM826DzoYRKBetfIphsws,"establishment, point_of_interest",2025-11-05T17:36:47.198273
A. LOPEZ MATEOS,29.0287101,-110.9710802,"Adolfo López Mateos, Adolfo Lopez Mateos, 83284 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJxXSdMcaEzoYR12QT0dPfg60,route,2025-11-05T17:36:47.498870
ACACIA RESIDENCIAL,29.124582,-111.059006,"Acacia Morena 30, 83173 Hermosillo, Son., Mexico",ROOFTOP,ChIJ2Q0WjCuBzoYR9qnxx1gknu4,"establishment, point_of_interest",2025-11-05T17:36:47.874292
ACASSIA BLANCA,29.1220883,-111.0580809,"Acacia Blanca, 83177 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJT-rZIKWBzoYRWKASzOhVEAg,route,2025-11-05T17:36:48.233925
ADOLFO DE LA HUERTA,29.028009,-110.9573696,"Adolfo de la Huerta, 83295 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ6w7dyNCEzoYR7f-rNgG4tf0,"political, sublocality, sublocality_level_1",2025-11-05T17:36:48.585430
ADOLFO LOPEZ MATEOS,29.0287101,-110.9710802,"Adolfo López Mateos, Adolfo Lopez Mateos, 83284 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJxXSdMcaEzoYR12QT0dPfg60,route,2025-11-05T17:36:48.928278
AEROPUERTO,29.0886475,-111.0468021,"Aeropuerto, 83320 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJuZBdRSuCzoYR2rTbbgRzVi0,route,2025-11-05T17:36:49.287437
AGAVES RESIDENCIAL,29.01428659999999,-110.9723136,"Boulevard Santa Clara & Bulevar Agave Azul, 83284 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ3w80lZGFzoYR57--OwwClhI,"establishment, point_of_interest",2025-11-05T17:36:49.645160
AGUALURCA,29.0013214,-110.9154866,"Agualurca, Valle de Agualurca, 83297 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJXbM3l5eazoYRegs6SANZBK8,route,2025-11-05T17:36:50.000962
AKIWIKI,29.0386959,-110.9514087,"Akiwiki, Hermosillo, Son., Mexico",APPROXIMATE,ChIJf5xaZd-EzoYRmsic5IiTl8Y,"political, sublocality, sublocality_level_1",2025-11-05T17:36:50.347134
ALAMEDA,29.1480825,-110.9627472,"Alameda, Los Angeles, 83106 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJn4KTLOOGzoYRvywfs-Sdf-Y,route,2025-11-05T17:36:50.710962
ALAMEDA LOS FRESNOS,28.9984473,-110.9180346,"Los Fresnos, 83297 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJqzN_2ZaazoYR1EWytwLkwlA,route,2025-11-05T17:36:51.069300
ALAMOS,29.0298817,-110.9543891,"Los Alamos, 83294 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ0-ovbNeEzoYR26EDeTP2OPM,"political, sublocality, sublocality_level_1",2025-11-05T17:36:51.435048
ALBERTO GUTIERREZ,29.1024246,-110.981628,"Alberto Gutiérrez, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJX4zl7B2EzoYRfub3wLHRpZM,route,2025-11-05T17:36:51.802278
ALBORADA,29.0795768,-110.9801425,"Av. de Alborada, Palmar del Sol, 83250 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ5zCsfmuEzoYRQPhR6aREnUY,route,2025-11-05T17:36:52.165606
ALCALA RESIDENCIAL,29.0764343,-110.9860568,"Residencial Alcala, Hermosillo, Son., Mexico",APPROXIMATE,ChIJE6Ybjm2EzoYR9WDC3YiXmiM,"political, sublocality, sublocality_level_1",2025-11-05T17:36:52.521919
ALCATRACES,29.1266558,-111.0123097,"Alcatraces, 83179 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ7SZJJTqBzoYR0bY3gavaZDE,route,2025-11-05T17:36:52.880315
ALCATRAZ\BAHIA DE KINO,28.8227474,-111.9363016,"Bahía de kino cruce de bahia alcatraz-kino, Burro Lindo, 83342 Bahía de Kino, Son., Mexico",GEOMETRIC_CENTER,ChIJSbruDhr3zIYR52PRs2ATWzA,"establishment, park, point_of_interest",2025-11-05T17:36:53.248044
ALEGRANZA RESIDENCIAL,29.0564489,-111.0101392,"Montejano 5, 83287 Hermosillo, Son., Mexico",ROOFTOP,ChIJuWiubhODzoYRM26AAPzeq2s,"establishment, point_of_interest",2025-11-05T17:36:53.618250
ALFREDO NORIEGA,29.0045109,-110.9297805,"Alfredo Graff Leyva, Arboledas, 83296 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJByEMA8GazoYR1s7F-itmP-s,route,2025-11-05T17:36:53.984458
ALONDRAS RESIDENCIAL,29.1474613,-110.9920912,"Agua Salada 18, Periodista, 83156 Hermosillo, Son., Mexico",ROOFTOP,ChIJzY2a-SmHzoYRGW8bjW0GkNM,"establishment, point_of_interest",2025-11-05T17:36:54.336597
ALTA CALIFORNIA RESIDENCIAL,29.0872702,-111.0015183,"Alta California Residencial - Solano, Montebello, 83249 Hermosillo, Son., Mexico",APPROXIMATE,ChIJgbsTBPeDzoYRnlA27X6eDEM,"neighborhood, political",2025-11-05T17:36:54.703368
ALTA CALIFORNIA RESIDENCIAL SECC CORONADO,29.0877769,-110.9994007,"Coronado, Alta California, 83249 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJdTg7yveDzoYR3-DFmJiJR5s,route,2025-11-05T17:36:55.088216
ALTA FIRENZE RESIDENCIAL,29.1363856,-110.9588024,"Sta. Monica SN-S CFE, Valle Santa Monica, 83104 Hermosillo, Son., Mexico",ROOFTOP,ChIJB7wX1vOGzoYRdazHqoS8mds,"establishment, point_of_interest",2025-11-05T17:36:55.443991
ALTADENA,29.1505576,-110.9670337,"Altadena, Los Angeles, 83106 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJsat_e-KGzoYRNzCbExJBKAo,route,2025-11-05T17:36:55.796441
ALTAMIRA,29.022471,-110.93483,"Altamira, 83296 Hermosillo, Son., Mexico",APPROXIMATE,ChIJJSl_EM-azoYRCqutF8tflR0,"political, sublocality, sublocality_level_1",2025-11-05T17:36:56.148984
ALTARES,29.0110802,-110.9461929,"Altares, 83296 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ71VDHNSazoYRVyorg5g5TAs,"political, sublocality, sublocality_level_1",2025-11-05T17:36:56.487302
ALTARES II,29.00142229999999,-110.9372516,"Altares, 83296 Hermosillo, Son., Mexico",APPROXIMATE,ChIJwz1BHNSazoYRpBMeCH6vQdo,"political, sublocality, sublocality_level_1",2025-11-05T17:36:56.838199
ALTARES SECCION FRANCISCANOS,29.0192458,-110.9450752,"Altares Secc Franciscanos, 83296 Hermosillo, Son., Mexico",APPROXIMATE,ChIJq8aXkdSazoYR-Md9L_w4baA,"political, sublocality, sublocality_level_1",2025-11-05T17:36:57.202419
ALTARIA RESIDENCIAL,29.1581563,-110.9846242,"Av. Árbol de Pisardi, 83107 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJMakBpBmHzoYRkuSznQOXI_M,"establishment, point_of_interest",2025-11-05T17:36:57.555710
ALTARIA RESIDENCIAL SECC. NAPOLES,29.1581563,-110.9846242,"Av. Árbol de Pisardi, 83107 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJMakBpBmHzoYRkuSznQOXI_M,"establishment, point_of_interest",2025-11-05T17:36:57.929919
ALTO VALLE,29.14451859999999,-110.966311,"Alto Valle, 83106 Hermosillo, Son., Mexico",APPROXIMATE,ChIJRQkzDeSGzoYRYPS5uSiIAbg,"political, sublocality, sublocality_level_1",2025-11-05T17:36:58.283949
ALTO VALLE SECTOR A,29.0798018,-110.9532482,"A, C. Guerrero 95, Centro, 83000 Hermosillo, Son., Mexico",ROOFTOP,ChIJz9LIjkyEzoYRnrfIRgzBq1A,"premise, street_address",2025-11-05T17:36:58.649892
ALTOS DE ARAGON,29.1329842,-110.9588081,"Altos de Aragón, Señorita Lucía, Valle Santa Monica, 83104 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJdXXtpfOGzoYRPFlx2jvguC8,"premise, street_address",2025-11-05T17:36:59.031829
AMAPOLA NORTE,29.0299723,-110.9700773,"Amapola, Adolfo Lopez Mateos, 83284 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJAbi9bsaEzoYRzdsSpwt5IUg,route,2025-11-05T17:36:59.395521
AMAPOLAS,29.0903155,-110.9156436,"Amapolas, 83020 Hermosillo, Son., Mexico",APPROXIMATE,ChIJgdAil5KFzoYRPDy6my7zXmU,"political, sublocality, sublocality_level_1",2025-11-05T17:36:59.750497
AMPLIACION ALTARES,29.0110802,-110.9461929,"Altares, 83296 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ71VDHNSazoYRVyorg5g5TAs,"political, sublocality, sublocality_level_1",2025-11-05T17:37:00.087305
AMPLIACION COLOSIO,29.0842416,-111.0056374,"Luis Donaldo Colosio, 83249 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJh_LQVvGDzoYR0_k0Ru_V6eM,route,2025-11-05T17:37:00.452152
AMPLIACION LUIS DONALDO COLOSIO 3RA.ETAPA,29.1152646,-111.0324786,"puerta real 3ra etapa Park, P.º Reyes Católicos Nte., Puerta Real Residencial Secc III, 83177 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJseturh2BzoYRdUfqSsp9RbM,"establishment, park, point_of_interest",2025-11-05T17:37:00.837680
AMPLIACIÓN LADRILLERAS,29.1502671,-110.9990966,"Las Ladrilleras, 83117 Hermosillo, Son., Mexico",APPROXIMATE,ChIJuyOVrdSAzoYR52zx6atKAHQ,"political, sublocality, sublocality_level_1",2025-11-05T17:37:01.196436
AMPLIACIÓN LOS OLIVOS,29.0329061,-110.972934,"Los Olivos, 83284 Hermosillo, Son., Mexico",APPROXIMATE,ChIJk3e6NceEzoYRh7tIsqcfDms,"political, sublocality, sublocality_level_1",2025-11-05T17:37:01.553007
ANDALUCÍA,29.065955,-110.9823614,"Andalucía, Asturias Residencial, Marsella Residencial, 83288 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ0-rvZmSEzoYRztNeBIG-JOk,route,2025-11-05T17:37:01.924477
ANGEL FLORES,29.0747876,-110.9514087,"Angel Flores, Hermosillo, Son., Mexico",APPROXIMATE,ChIJP2GUyVKEzoYRYzBf0idSRcE,"political, sublocality, sublocality_level_1",2025-11-05T17:37:02.287354
ANGELES CERRADA MIXCOAC,29.0758765,-110.9816172,"Los Ángeles, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJDbmDHWyEzoYRhx8Z_K0kfXM,route,2025-11-05T17:37:02.657351
