nom_loc,cve_col,nom_col,viviendas_totales,poblacion_total,pctj_mujeres,pctj_hombres,pctj_menores18,pctj_adultos18_59,pctj_60ymas,escolaridad_años_prom,nivel_escolaridad_prom,nom_col_norm
Hermosillo,2603000010,OASIS LANTANA,211,650,50.7%,49.3%,39.2%,60.3%,0.5%,11.4,Secundaria,OASIS LANTANA
Hermosillo,2603000011343,ROMANZA RESIDENCIAL,502,1543,48.5%,51.5%,39.5%,58.4%,2.1%,11.2,Secundaria,ROMANZA RESIDENCIAL
Hermosillo,2603000011346,PUEBLO ALEGRE,443,1385,50.2%,49.8%,34.1%,62.5%,3.5%,11.5,Secundaria,PUEBLO ALEGRE
Hermosillo,2603000011347,TUBAC,212,651,51.5%,48.5%,32.6%,63.3%,4.1%,12.2,Secundaria,TUBAC
Hermosillo,2603000011348,PUEBLO ESCONDIDO,646,2154,50.6%,49.4%,36.6%,60.6%,2.8%,10.4,Secundaria,PUEBLO ESCONDIDO
Hermosillo,2603000011349,LA LENGUETA,87,245,46.5%,53.5%,33.1%,58.4%,8.6%,8.3,Primaria,LA LENGUETA
Hermosillo,2603000011350,LAURA ALICIA FRIAS DE LOPEZ NOGALES,832,2614,47.7%,52.3%,39%,55%,6%,8.5,Primaria,LAURA ALICIA FRIAS DE LOPEZ NOGALES
Hermosillo,2603000011351,ZONA INDUSTRIAL,37,101,50%,50%,25.7%,70.3%,4%,11.6,Secundaria,ZONA INDUSTRIAL
Hermosillo,2603000011352,PRIVADAS DEL BOSQUE,656,2074,51.4%,48.6%,33.7%,62.4%,4%,12.1,Secundaria,PRIVADAS DEL BOSQUE
Hermosillo,2603000011353,EL ENCANTO,289,896,51.2%,48.8%,26.9%,67.9%,5.2%,11.0,Secundaria,EL ENCANTO
Hermosillo,2603000011354,PILARES,157,447,49.7%,50.3%,28.9%,68.2%,2.9%,13.4,Preparatoria,PILARES
Hermosillo,2603000011356,CORTIJO SECCION PIONEROS,536,1514,49.7%,50.3%,27.4%,65.4%,7.2%,12.5,Secundaria,CORTIJO SECCION PIONEROS
Hermosillo,2603000011357,LOS MANANTIALES,157,452,50.3%,49.7%,35.6%,61.1%,3.3%,13.1,Preparatoria,LOS MANANTIALES
Hermosillo,2603000011358,CORTIJO SECCION PERIODISTAS,47,109,56.9%,43.1%,22.9%,67%,10.1%,12.1,Secundaria,CORTIJO SECCION PERIODISTAS
Hermosillo,2603000011359,NUEVO HORIZONTE,60,186,53.2%,46.8%,22%,69.9%,8.1%,11.2,Secundaria,NUEVO HORIZONTE
Hermosillo,2603000011360,SAN SEBASTIAN,91,277,49.5%,50.5%,29.2%,66.8%,4%,11.9,Secundaria,SAN SEBASTIAN
Hermosillo,2603000011361,CERRADA DE LA CAPILLA,72,213,53.1%,46.9%,33.3%,57.3%,9.4%,12.9,Secundaria,CERRADA DE LA CAPILLA
Hermosillo,2603000011362,RETORNO DE LA MISION,230,615,51.1%,48.9%,26%,66.2%,7.8%,12.8,Secundaria,RETORNO DE LA MISION
Hermosillo,2603000011363,HACIENDA RESIDENCIAL,169,488,50.6%,49.4%,27%,66.2%,6.8%,12.7,Secundaria,HACIENDA RESIDENCIAL
Hermosillo,2603000011364,CAPERUZO,454,1429,49.1%,50.9%,28.3%,67.2%,4.5%,11.0,Secundaria,CAPERUZO
Hermosillo,2603000011365,PASEO DE PALMAS,259,735,48.2%,51.8%,27.8%,67.3%,4.9%,11.1,Secundaria,PASEO DE PALMAS
Hermosillo,2603000011366,VILLAS DEL PALMAR,724,2252,51.2%,48.8%,28.6%,65.2%,6.2%,11.9,Secundaria,VILLAS DEL PALMAR
Hermosillo,2603000011367,VILLAS RESIDENCIAL,353,1165,50.9%,49.1%,33.8%,63.3%,2.8%,12.0,Secundaria,VILLAS RESIDENCIAL
Hermosillo,2603000011368,VILLA DORADA,345,1063,49.9%,50.1%,29.5%,65.2%,5.3%,11.1,Secundaria,VILLA DORADA
Hermosillo,2603000011369,RINCON DE PALMAS,128,435,52%,48%,28.5%,68%,3.4%,12.6,Secundaria,RINCON DE PALMAS
Hermosillo,2603000011370,PRIVADAS DE MIRADOR I,201,614,51%,49%,33.1%,62.4%,4.6%,12.1,Secundaria,PRIVADAS DE MIRADOR I
Hermosillo,2603000011371,SAN LUIS REY,214,681,52.6%,47.4%,27.2%,64.9%,7.9%,11.5,Secundaria,SAN LUIS REY
Hermosillo,2603000011372,VILLA COLONIAL,839,2557,51.4%,48.6%,26.2%,67.9%,6%,12.6,Secundaria,VILLA COLONIAL
Hermosillo,2603000011373,MANLIO FABIO BELTRONES,199,758,49.9%,50.1%,36%,58.7%,5.3%,9.0,Secundaria,MANLIO FABIO BELTRONES
Hermosillo,2603000011374,SOLIDARIDAD,4745,16283,49.6%,50.4%,30.1%,62.6%,7.2%,9.8,Secundaria,SOLIDARIDAD
Hermosillo,2603000011375,MANUEL GOMEZ MORIN,664,2354,51.7%,48.3%,34.4%,59.9%,5.8%,9.6,Secundaria,MANUEL GOMEZ MORIN
Hermosillo,2603000011376,VILLAS DEL CORTIJO,358,1200,51%,49%,27%,65.8%,7.2%,11.6,Secundaria,VILLAS DEL CORTIJO
