COLONIA_ORIGINAL,COLONIA_NORMALIZADA
4 DE MARZO,4 DE MARZO
ACACIAS RESIDENCIAL,ACACIAS RESIDENCIAL
ADOLFO DE LA HUERTA,ADOLFO DE LA HUERTA
ADOLFO LOPEZ MATEOS,ADOLFO LOPEZ MATEOS
ADOLFO LOPEZ MATEOS ETAPA I,ADOLFO LOPEZ MATEOS ETAPA I
AGAVES RESIDENCIAL,AGAVES RESIDENCIAL
AKIWIKI,AKIWIKI
ALAMEDA,ALAMEDA
ALEGRANZA RESIDENCIAL,ALEGRANZA RESIDENCIAL
ALFONSO PERALTA,ALFONSO PERALTA
ALONDRAS RESIDENCIAL,ALONDRAS RESIDENCIAL
ALTA CALIFORNIA RESIDENCIAL,ALTA CALIFORNIA RESIDENCIAL
ALTA FIRENZE NORTE RESIDENCIAL,ALTA FIRENZE NORTE RESIDENCIAL
ALTA MONACO,ALTA MONACO
ALTA VISTA,ALTA VISTA
ALTAFIRENZE RESIDENCIAL,ALTAFIRENZE RESIDENCIAL
ALTAMIRA,ALTAMIRA
ALTARES,ALTARES
ALTARIA RESIDENCIAL,ALTARIA RESIDENCIAL
ALTO VALLE,ALTO VALLE
ALTOS DE ARAGON,ALTOS DE ARAGON
ALVARO OBREGON,ALVARO OBREGON
AMAPOLAS,AMAPOLAS
AMPLIACIN 4 DE MARZO,AMPLIACIN 4 DE MARZO
AMPLIACION ALCATRACES,AMPLIACION ALCATRACES
AMPLIACION LOS OLIVOS,AMPLIACION LOS OLIVOS
ANDALUCIA,ANDALUCIA
ANGEL FLORES,ANGEL FLORES
ANTARA RESIDENCIAL,ANTARA RESIDENCIAL
APOLO,APOLO
ARANDANOS RESIDENCIAL,ARANDANOS RESIDENCIAL
ARANDANOS SECCION VILLA HERMOSA,ARANDANOS SECCION VILLA HERMOSA
ARANJUEZ RESIDENCIAL,ARANJUEZ RESIDENCIAL
ARBOLEDAS,ARBOLEDAS
ARCO IRIS,ARCO IRIS
ARGANGEL RESIDENCIAL,ARGANGEL RESIDENCIAL
ASTURIAS RESIDENCIAL,ASTURIAS RESIDENCIAL
ATARDECERES,ATARDECERES
AUREA RESIDENCIAL,AUREA RESIDENCIAL
AZORES RESIDENCIAL,AZORES RESIDENCIAL
BACHOCO,BACHOCO
BADALONA,BADALONA
BALDERRAMA,BALDERRAMA
BANUS,BANUS
BARCELONA RESIDENCIAL,BARCELONA RESIDENCIAL
BELLA VISTA,BELLA VISTA
BENEI,BENEI
BENITO JUAREZ,BENITO JUAREZ
BICENTENARIO,CENTENARIO
BILBAO,BILBAO
BONANZA,BONANZA
BONATERRA,BONATERRA
BOSCO,BOSCO
BUENA VISTA,BUENA VISTA
BUENA VISTA SECC BONITA,BUENA VISTA SECC BONITA
BUENA VISTA SECCION AMANECER,BUENA VISTA SECCION AMANECER
BUENOS AIRES,BUENOS AIRES
BUGAMBILIAS,BUGAMBILIAS
BUROCRATA MUNICIPAL,BUROCRATA MUNICIPAL
CALIFORNIA ETAPA V,CALIFORNIA ETAPA V
CALIFORNIA PRIVADA MONTEBELLO,CALIFORNIA PRIVADA MONTEBELLO
CALIFORNIA PRIVADA SANTA MONICA,CALIFORNIA PRIVADA SANTA MONICA
CALISTOGA,CALISTOGA
CAMINO REAL,CAMINO REAL
CAMINO REAL DEL NORTE,CAMINO REAL DEL NORTE
CAMPANARIO,CAMPANARIO
CAMPO GRANDE,CAMPO GRANDE
CANTERAS RESIDENCIAL,CANTERAS RESIDENCIAL
CAPERUZO,CAPERUZO
CARDENO ETAPA CELESTE II,CARDENO ETAPA CELESTE II
CARDENO RESIDENCIAL,CARDENO RESIDENCIAL
CARMEN SERDAN,CARMEN SERDAN
CASA ALTA RDCIAL,CASA ALTA RDCIAL
CASA BLANCA,CASA BLANCA
CASA BONITA RESIDENCIAL,CASA BONITA RESIDENCIAL
CASA GRANDE,CASA GRANDE
CASA LINDA,CASA LINDA
CASERIO SAHUARO,CASERIO SAHUARO
CASERIO SOLAR,CASERIO SOLAR
CASTELINA,CASTELINA
CATALINAS RESIDENCIAL,CATALINAS RESIDENCIAL
CATAVIÑA RESIDENCIAL,CATAVIÑA RESIDENCIAL
CAÑADA DE LOS NEGROS,CAÑADA DE LOS NEGROS
CENTENARIO,CENTENARIO
CENTENARIO LUX,CENTENARIO LUX
CENTRO,CENTRO
CERRADA CORONADO,CERRADA CORONADO
CERRADA CORONADO II,CERRADA CORONADO
CERRADA CUCURPE,CERRADA CUCURPE
CERRADA DE CORTES,CERRADA DE CORTES
CERRADA DE LA CAPILLA,CERRADA DE LA CAPILLA
CERRADA DE MINAS,CERRADA DE MINAS
CERRADA DEL ANGEL,CERRADA DEL ANGEL
CERRADA SAN IGNACIO,CERRADA SAN IGNACIO
CERRADA SAN RAFAEL,CERRADA SAN RAFAEL
CERRADA SUAQUI GRANDE,CERRADA SUAQUI GRANDE
CERRADA VISTA AZUL,CERRADA VISTA AZUL
CERRO 01,CERRO 01
CERRO 04,CERRO 04
CERRO DE LA CAMPANA,CERRO DE LA CAMPANA
CHOYAL,CHOYAL
CHULA VISTA,CHULA VISTA
CINCO DE MAYO,CINCO DE MAYO
CLUB DE GOLF LOS LAGOS,CLUB DE GOLF LOS LAGOS
CNOP,CNOP
COLINA BLANCA,COLINA BLANCA
COLINAS DE SAN JAVIER,COLINAS DE SAN JAVIER
COLINAS DEL SOL,COLINAS DEL SOL
COLINAS RESIDENCIAL,COLINAS RESIDENCIAL
COLOSO ALTO,COLOSO ALTO
COLOSO BAJO,COLOSO BAJO
COMBATE,COMBATE
COMPOSTELA RESIDENCIAL,COMPOSTELA RESIDENCIAL
CONCORDIA RESIDNCIAL,CONCORDIA RESIDNCIAL
CONDESA,CONDESA
CONDOMINIOS INN,CONDOMINIOS INN
CONJUNTO ALBORADA,CONJUNTO ALBORADA
CONQUISTADORES,CONQUISTADORES
CONSTITUCION,CONSTITUCION
