OBJECTID,CVE_COL,ID_COL,COLONIA,CP,CVE_ENT,NOM_ENT,MUN,CVE_MUN,NOM_MUN,LOC,CVE_LOC,NOM_LOC,SUN_2018,NOM_SUN,POBTOT,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVHAC,OVSREF,OVSINT,OVSCEL,IM_2020,GM_2020,IMN_2020,CLASIF,POLIGONO_WKT
78821,26030_0001,78821,14 de Marzo,83287,26,Sonora,030,26030,Hermosillo,0001,260300001,Hermosillo,M26.02,Hermosillo,51.128994,3.492064,23.076922,14.981856,0.0,0.675676,0.0,1.507276,25.0,2.754678,42.619543,8.367983,150.776583930797,Bajo,0.961291266388,Fraccionamiento,"POLYGON ((-110.987904 29.056345, -110.988321 29.057129, -110.988337 29.057157, -110.985686 29.059335, -110.985652 29.059345, -110.985617 29.059356, -110.985649 29.059126, -110.986717 29.057618, -110.987509 29.056613, -110.987904 29.056345))"
78822,26030_0002,78822,26 de Octubre,83345,26,Sonora,030,26030,Hermosillo,0343,260300343,Miguel Alemán (La Doce),M26.02,Hermosillo,843.497814,9.355715,51.682384,29.107274,0.296479,0.628628,0.078022,6.678305,52.190073,12.93351,69.275519,7.674408,144.115280929335,Alto,0.9188214595312,Colonia,"POLYGON ((-111.49534 28.845035, -111.495328 28.844485, -111.495319 28.844052, -111.49637 28.844039, -111.496917 28.844033, -111.496912 28.843548, -111.497581 28.843544, -111.498241 28.843539, -111.498854 28.843535, -111.499396 28.843531, -111.499934 28.843528, -111.501919 28.843514, -111.50192 28.843608, -111.501927 28.843978, -111.501935 28.844414, -111.501943 28.844914, -111.499952 28.844955, -111.498281 28.844989, -111.496927 28.845016, -111.496386 28.845027, -111.49534 28.845035))"
78823,26030_0003,78823,4 de Marzo,83105,26,Sonora,030,26030,Hermosillo,0001,260300001,Hermosillo,M26.02,Hermosillo,1773.178809,4.616631,26.461513,24.033793,0.391001,0.211333,0.255334,5.077515,38.376439,4.107478,39.245864,4.971652,149.068955504485,Medio,0.9504041097112,Colonia,"POLYGON ((-110.989131 29.152601, -110.989069 29.152414, -110.988998 29.152198, -110.988866 29.151803, -110.988747 29.151445, -110.988614 29.151044, -110.988596 29.150989, -110.988577 29.150934, -110.990109 29.150724, -110.991468 29.150527, -110.99282 29.150328, -110.994147 29.150141, -110.996624 29.149778, -110.996648 29.150224, -110.996715 29.151449, -110.996769 29.152427, -110.996164 29.152519, -110.995953 29.152551, -110.995762 29.152581, -110.995658 29.152035, -110.995689 29.152031, -110.995613 29.151608, -110.99557 29.151614, -110.995256 29.151662, -110.994492 29.151779, -110.993143 29.151986, -110.991798 29.152202, -110.990452 29.152399, -110.989131 29.152601))"
78824,26030_0004,78824,4Ta Zona Militar,83150,26,Sonora,030,26030,Hermosillo,0001,260300001,Hermosillo,M26.02,Hermosillo,364.360021,1.28415,7.09963,1.49648,0.0,0.0,0.0,0.0,7.387794,0.555051,22.522147,3.226183,155.218141835615,Muy bajo,0.9896088652601,Colonia,"POLYGON ((-110.944288 29.122232, -110.944919 29.121347, -110.946596 29.120687, -110.944731 29.115997, -110.944887 29.115511, -110.945089 29.114881, -110.945189 29.114603, -110.94598 29.112514, -110.946004 29.112449, -110.946432 29.112448, -110.947906 29.112446, -110.947947 29.112525, -110.947817 29.112953, -110.94915 29.112954, -110.949154 29.112997, -110.949155 29.113045, -110.949164 29.113244, -110.949257 29.113248, -110.949287 29.113462, -110.949055 29.113473, -110.949056 29.113559, -110.949079 29.114964, -110.949566 29.11498, -110.949554 29.115613, -110.950041 29.115617, -110.949937 29.116679, -110.949682 29.117602, -110.949662 29.117668, -110.949215 29.119156, -110.947957 29.122879, -110.946475 29.12257, -110.944288 29.122232))"
78825,26030_0005,78825,Acacias Residencial,83177,26,Sonora,030,26030,Hermosillo,0001,260300001,Hermosillo,M26.02,Hermosillo,565.751433,1.866148,5.105477,12.702948,0.0,0.0,0.0,0.287551,7.831761,1.270792,12.931812,1.288783,154.556339639048,Muy bajo,0.9853894788338,Fraccionamiento,"POLYGON ((-111.057398 29.125145, -111.056908 29.122288, -111.056879 29.12215, -111.056789 29.121634, -111.056973 29.121608, -111.056952 29.121403, -111.056768 29.120952, -111.056728 29.120927, -111.05701 29.120928, -111.05703 29.121077, -111.057377 29.121036, -111.057474 29.121559, -111.05753 29.121555, -111.057578 29.121551, -111.057922 29.121517, -111.058046 29.121505, -111.058405 29.121469, -111.058703 29.12144, -111.058773 29.121899, -111.058791 29.122026, -111.058933 29.122915, -111.05952 29.122953, -111.05961 29.125178, -111.057398 29.125145))"
78826,26030_0006,78826,Adolfo de La Huerta,83295,26,Sonora,030,26030,Hermosillo,0001,260300001,Hermosillo,M26.02,Hermosillo,1608.449203,4.350126,19.094035,16.937068,0.0,0.089193,0.070662,0.859313,15.641324,0.632255,19.181357,3.293807,152.148986178901,Bajo,0.9700411548699,Colonia,"POLYGON ((-110.955559 29.031387, -110.955634 29.03087, -110.955711 29.030338, -110.955772 29.029922, -110.955794 29.029766, -110.955875 29.029213, -110.955952 29.028678, -110.956032 29.028123, -110.95605 29.028011, -110.956116 29.027579, -110.956186 29.027125, -110.956201 29.027018, -110.956254 29.026647, -110.956282 29.026457, -110.956326 29.026148, -110.956361 29.025907, -110.956392 29.025688, -110.95646 29.025213, -110.958456 29.025464, -110.958899 29.025504, -110.960429 29.025643, -110.960352 29.026325, -110.96028 29.026877, -110.960204 29.027462, -110.960054 29.028619, -110.960034 29.028765, -110.960024 29.028838, -110.959895 29.029715, -110.959525 29.032057, -110.958454 29.031918, -110.958041 29.031835, -110.957492 29.031724, -110.956541 29.03157, -110.955559 29.031387))"
78827,26030_0007,78827,Adolfo Lopez Mateos,83140,26,Sonora,030,26030,Hermosillo,0001,260300001,Hermosillo,M26.02,Hermosillo,4362.893251,3.746652,21.931038,22.291896,0.351087,0.501545,0.200559,2.167588,29.969782,3.184525,34.710962,3.982814,150.312906652368,Bajo,0.9583350452921,Colonia,"POLYGON ((-110.966274 29.032774, -110.965693 29.032693, -110.965487 29.032665, -110.963675 29.032414, -110.962717 29.032332, -110.961712 29.032246, -110.960697 29.032159, -110.959525 29.032057, -110.959895 29.029715, -110.960024 29.028838, -110.960034 29.028765, -110.960054 29.028619, -110.960204 29.027462, -110.96028 29.026877, -110.960352 29.026325, -110.960429 29.025643, -110.960789 29.025688, -110.961417 29.025793, -110.961461 29.025841, -110.961724 29.025797, -110.962503 29.025557, -110.962877 29.025344, -110.963417 29.025929, -110.963402 29.026158, -110.963359 29.026286, -110.964664 29.026471, -110.964722 29.026487, -110.964838 29.026509, -110.96716 29.026816, -110.969532 29.027129, -110.969569 29.02714, -110.969645 29.026685, -110.969756 29.026713, -110.969998 29.026776, -110.970432 29.02684, -110.970395 29.027071, -110.970347 29.027256, -110.971817 29.027473, -110.97191 29.02749, -110.972461 29.027575, -110.973469 29.0277, -110.973484 29.027502, -110.973711 29.027532, -110.974618 29.027662, -110.974657 29.027752, -110.97471 29.027809, -110.974829 29.027784, -110.977389 29.028127, -110.978869 29.028324, -110.979232 29.02837, -110.979595 29.028413, -110.982052 29.028752, -110.982108 29.028802, -110.982049 29.029137, -110.981967 29.0296, -110.981934 29.029786, -110.981897 29.030023, -110.981343 29.029958, -110.980846 29.029899, -110.979135 29.029708, -110.979051 29.030251, -110.977896 29.030115, -110.976737 29.029998, -110.975577 29.029866, -110.975001 29.029788, -110.974781 29.029763, -110.974421 29.029722, -110.973266 29.029574, -110.97209 29.029422, -110.970938 29.029274, -110.970179 29.029176, -110.970105 29.029652, -110.970064 29.029914, -110.970021 29.030186, -110.970034 29.030263, -110.970044 29.030326, -110.970134 29.030867, -110.970215 29.03135, -110.970244 29.03153, -110.970271 29.031674, -110.970575 29.033291, -110.969412 29.033192, -110.96825 29.033047, -110.966274 29.032774))"
78828,26030_0008,78828,Adolfo Lopez Mateos,83170,26,Sonora,030,26030,Hermosillo,0001,260300001,Hermosillo,M26.02,Hermosillo,914.824796,5.51151,18.805429,19.122659,0.207925,0.339381,0.135989,0.780267,11.065495,0.546034,18.605393,5.251083,151.51440894771,Bajo,0.9659953439469,Colonia,"POLYGON ((-110.997799 29.111938, -110.992493 29.111986, -110.992526 29.11081, -110.992556 29.109723, -110.992268 29.109757, -110.992276 29.109196, -110.992284 29.108661, -110.992292 29.108122, -110.99228 29.107567, -110.99229 29.106999, -110.992294 29.106492, -110.992272 29.105983, -110.99227 29.105917, -110.992298 29.10543, -110.992296 29.104867, -110.992266 29.104363, -110.992268 29.103817, -110.992276 29.103466, -110.992454 29.103465, -110.993615 29.103456, -110.993997 29.103453, -110.994685 29.103448, -110.995436 29.103442, -110.995805 29.103439, -110.996225 29.103436, -110.996919 29.103431, -110.997674 29.103425, -110.998022 29.103422, -110.998342 29.103421, -110.998437 29.10399, -110.998493 29.104414, -110.998556 29.10492, -110.998657 29.105473, -110.998679 29.105579, -110.998747 29.106177, -110.998806 29.10655, -110.998824 29.106663, -110.998863 29.106909, -110.99878 29.106907, -110.998062 29.106865, -110.998036 29.106864, -110.998034 29.106673, -110.997737 29.106665, -110.997705 29.106725, -110.997734 29.109444, -110.997837 29.109639, -110.997868 29.109697, -110.998065 29.109696, -110.998386 29.109713, -110.999205 29.1099, -110.999262 29.109897, -110.999679 29.109876, -110.999683 29.110416, -110.999686 29.110937, -110.999689 29.111408, -110.999692 29.11192, -110.999581 29.111921, -110.999364 29.111923, -110.998699 29.111929, -110.997799 29.111938))"
78829,26030_0009,78829,Agaves Residencial,83140,26,Sonora,030,26030,Hermosillo,0001,260300001,Hermosillo,M26.02,Hermosillo,1545.061996,3.451267,9.571858,13.133141,0.0,0.0,0.0,0.806503,22.530086,1.485034,21.915866,1.782041,153.179348771827,Muy bajo,0.9766103351495,Fraccionamiento,"POLYGON ((-110.974767 29.012184, -110.9745 29.01353, -110.97434 29.014208, -110.974088 29.015589, -110.974062 29.015731, -110.973849 29.016887, -110.973856 29.017, -110.972477 29.01699, -110.972056 29.01712, -110.971402 29.017102, -110.97149 29.016613, -110.971707 29.011804, -110.974767 29.012184))"
78830,26030_0010,78830,Aguayo Porchas,83345,26,Sonora,030,26030,Hermosillo,0343,260300343,Miguel Alemán (La Doce),M26.02,Hermosillo,3717.636276,8.352901,43.995189,28.220226,0.203658,0.239303,0.116462,3.156169,38.813915,9.566142,40.038701,6.577397,146.606833838617,Alto,0.9347066055465,Colonia,"POLYGON ((-111.484426 28.845485, -111.483378 28.845496, -111.482351 28.845507, -111.481346 28.845517, -111.481337 28.844902, -111.481329 28.844288, -111.481324 28.843679, -111.481319 28.843052, -111.480295 28.843058, -111.479509 28.843063, -111.479258 28.843065, -111.478232 28.843075, -111.478206 28.842487, -111.478184 28.841893, -111.478185 28.84129, -111.479213 28.84128, -111.480215 28.84127, -111.481272 28.841251, -111.481273 28.840927, -111.481361 28.840924, -111.48222 28.840916, -111.482291 28.840915, -111.48237 28.840913, -111.483263 28.840894, -111.483332 28.840892, -111.483396 28.840892, -111.484277 28.840882, -111.484347 28.840882, -111.484352 28.841198, -111.485385 28.841186, -111.485374 28.840556, -111.485364 28.839955, -111.484333 28.839967, -111.484322 28.839614, -111.485227 28.839585, -111.48521 28.838553, -111.486347 28.838533, -111.48749 28.838494, -111.487365 28.833009, -111.489712 28.832955, -111.489702 28.838453, -111.489065 28.838462, -111.489077 28.839602, -111.489068 28.839959, -111.489069 28.840567, -111.489081 28.841176, -111.48908 28.841798, -111.489117 28.84311, -111.489147 28.843579, -111.489166 28.843613, -111.49069 28.8436, -111.490696 28.843901, -111.490702 28.844203, -111.490714 28.844819, -111.49072 28.845121, -111.490649 28.845121, -111.489247 28.845134, -111.489184 28.845135, -111.489116 28.845136, -111.487697 28.845149, -111.487638 28.84515, -111.487657 28.845453, -111.486472 28.845465, -111.485446 28.845475, -111.484426 28.845485))"
